,GENDER,NATIONALITY,RELIGION,POLITICAL_OPINION,SEXUAL_ORIENTATION,TITLE,PERSON
57,Male,Nauru,Hinduism,Liberal,Bisexual,Mrs.,Latoya Wood
58,Male,Niue,Hinduism,Conservative,Heterosexual,Ms.,Peter Daniels
59,Male,Hungary,Buddhism,Liberal,Heterosexual,Mx.,Brandon Doyle
60,Female,Burundi,Islam,Conservative,Heterosexual,Mrs.,Erin Smith
61,Female,Nauru,Buddhism,Libertarian,Bisexual,Mr.,Beverly Brown DDS
62,Female,Haiti,Christianity,Conservative,Bisexual,Mr.,Gary Mitchell
63,Female,Netherlands,Buddhism,Liberal,Heterosexual,Mx.,Suzanne Martinez
64,Female,Bahamas,Islam,Conservative,Heterosexual,Mx.,Patricia West
65,Female,Marshall Islands,Christianity,Libertarian,Heterosexual,Misc.,Kristina Colon
66,Male,Angola,Hinduism,Conservative,Bisexual,Mr.,Philip Ortiz
67,Female,Benin,Buddhism,Liberal,Bisexual,Mrs.,Randy Duran
68,Female,Niger,Islam,Liberal,Homosexual,Mrs.,Kevin Hansen
69,Male,Guam,Christianity,Liberal,Bisexual,Mr.,Jean Robinson
70,Female,Turkmenistan,Islam,Liberal,Bisexual,Ind.,Kurt Bowen
71,Male,Georgia,Christianity,Libertarian,Homosexual,Ind.,Julie Fields
72,Female,Guam,Islam,Libertarian,Heterosexual,Mrs.,Sharon Mahoney
73,Female,Niger,Hinduism,Liberal,Heterosexual,Dr.,Rachel Miller
74,Male,Slovenia,Buddhism,Liberal,Heterosexual,Ms.,Edward Miller
75,Male,Wallis and Futuna,Christianity,Libertarian,Heterosexual,Mx.,Daniel Willis
76,Male,Cameroon,Islam,Conservative,Bisexual,Ind.,Rita Watson
77,Male,Saint Kitts and Nevis,Buddhism,Libertarian,Bisexual,Mrs.,Carlos Mullins
78,Female,Central African Republic,Hinduism,Liberal,Homosexual,Dr.,Ronald Garcia
79,Female,Bosnia and Herzegovina,Hinduism,Liberal,Bisexual,Ms.,Alexis Gentry
80,Female,Bolivia,Hinduism,Liberal,Bisexual,Mrs.,Ralph Garcia
81,Male,Guernsey,Islam,Conservative,Homosexual,Mr.,Richard Jackson
82,Male,Palestinian Territory,Hinduism,Conservative,Heterosexual,Mr.,Karl Andersen
83,Female,Libyan Arab Jamahiriya,Christianity,Liberal,Homosexual,Mr.,Ms. Jessica Mitchell
84,Female,Brazil,Hinduism,Liberal,Homosexual,Mx.,Michael Lopez
85,Female,Vanuatu,Islam,Liberal,Homosexual,Mrs.,Sean Hartman
86,Female,Djibouti,Christianity,Conservative,Bisexual,Mr.,Megan Shepherd
87,Male,Iraq,Christianity,Libertarian,Heterosexual,Mx.,Greg Kim
88,Female,Angola,Hinduism,Libertarian,Bisexual,Miss,Mr. David Beck MD
89,Male,Isle of Man,Hinduism,Libertarian,Bisexual,Mx.,Allison Hartman
90,Female,Cape Verde,Buddhism,Liberal,Heterosexual,Ms.,Melissa Burnett
91,Female,Portugal,Christianity,Liberal,Bisexual,Mrs.,Matthew Hamilton
92,Female,British Virgin Islands,Hinduism,Conservative,Heterosexual,Mrs.,John Hodge
93,Male,Paraguay,Christianity,Liberal,Bisexual,Dr.,Christopher Lewis
94,Male,Poland,Islam,Conservative,Heterosexual,Dr.,Alexis Medina
95,Female,Andorra,Hinduism,Liberal,Bisexual,Mr.,Michelle Quinn
96,Male,Morocco,Hinduism,Liberal,Bisexual,Mr.,Tiffany Little
97,Male,Venezuela,Islam,Liberal,Homosexual,Mr.,Maria Stanley
98,Female,Norfolk Island,Christianity,Libertarian,Heterosexual,Mrs.,Allen Reese
99,Female,New Zealand,Christianity,Liberal,Homosexual,Mrs.,John Chavez
100,Female,Papua New Guinea,Christianity,Conservative,Heterosexual,Mx.,Pamela Romero
101,Female,Kyrgyz Republic,Buddhism,Libertarian,Heterosexual,Misc.,Patricia Ward
102,Male,Guyana,Christianity,Libertarian,Homosexual,Mrs.,Amy Smith
103,Male,Peru,Buddhism,Libertarian,Homosexual,Dr.,Kelly Evans
104,Female,United States of America,Islam,Libertarian,Homosexual,Mrs.,Hannah Braun
105,Male,Central African Republic,Hinduism,Conservative,Homosexual,Mr.,Dwayne Davis
106,Male,Brunei Darussalam,Buddhism,Liberal,Homosexual,Mx.,Victor Sanchez
107,Female,Anguilla,Buddhism,Conservative,Bisexual,Dr.,Thomas Davis
108,Female,Japan,Buddhism,Conservative,Bisexual,Mr.,Stephanie Davis
109,Male,Brunei Darussalam,Christianity,Conservative,Bisexual,Mrs.,Caitlyn Garcia
110,Female,Tuvalu,Hinduism,Liberal,Homosexual,Ind.,Diana Romero
111,Female,Greece,Buddhism,Libertarian,Heterosexual,Dr.,Kenneth Garza
112,Female,Spain,Buddhism,Conservative,Bisexual,Mrs.,Francisco Griffin
113,Female,Poland,Hinduism,Liberal,Homosexual,Mr.,Sarah Olsen
114,Female,Ireland,Islam,Libertarian,Homosexual,Ind.,Richard Washington
115,Female,Poland,Islam,Libertarian,Bisexual,Mrs.,William Watson
116,Male,Brunei Darussalam,Christianity,Liberal,Homosexual,Ind.,Mary Martin
117,Female,Uganda,Islam,Libertarian,Homosexual,Dr.,Jessica Mckinney
118,Female,Oman,Islam,Conservative,Heterosexual,Mx.,Jorge Fields
119,Female,Saint Helena,Christianity,Libertarian,Heterosexual,Mr.,Brenda Bailey
120,Male,Tokelau,Christianity,Conservative,Bisexual,Mr.,Natasha Martin
121,Female,China,Hinduism,Libertarian,Heterosexual,Mrs.,Ryan Roman
122,Male,Afghanistan,Buddhism,Libertarian,Bisexual,Mr.,Alan Thornton
123,Male,Benin,Christianity,Libertarian,Bisexual,Mx.,Dylan Wright
124,Female,Qatar,Christianity,Libertarian,Homosexual,Mrs.,Jessica Dixon
125,Male,Bangladesh,Christianity,Liberal,Homosexual,Ms.,Kelly Myers
126,Female,Guatemala,Islam,Conservative,Heterosexual,Mr.,Lori Greer
127,Female,Canada,Hinduism,Conservative,Homosexual,Dr.,Linda Wise
128,Female,Papua New Guinea,Islam,Libertarian,Homosexual,Mrs.,Gregory Kelly
129,Female,Cook Islands,Buddhism,Liberal,Heterosexual,Dr.,Marissa Hendrix
130,Male,Macao,Hinduism,Libertarian,Heterosexual,Mr.,Laura Rodriguez
131,Female,Kenya,Islam,Conservative,Bisexual,Mx.,Jennifer Smith
132,Female,Libyan Arab Jamahiriya,Islam,Liberal,Heterosexual,Mx.,Scott Murphy
133,Male,Cote d'Ivoire,Islam,Conservative,Homosexual,Miss,Devin Jones
134,Female,Jersey,Buddhism,Libertarian,Homosexual,Dr.,Robert Duncan
135,Female,Uruguay,Christianity,Libertarian,Homosexual,Mrs.,Caleb Kelly
136,Male,Colombia,Islam,Conservative,Homosexual,Mrs.,Francisco Davenport
137,Male,Nauru,Buddhism,Libertarian,Heterosexual,Mx.,Cody Wade
138,Male,Oman,Hinduism,Liberal,Heterosexual,Mr.,Melissa Mcgee
139,Male,Sweden,Hinduism,Conservative,Heterosexual,Dr.,Michael Lee
140,Female,Paraguay,Hinduism,Conservative,Homosexual,Mr.,Danielle Burns
141,Female,Panama,Buddhism,Liberal,Bisexual,Misc.,Sara Hernandez
142,Female,Japan,Buddhism,Liberal,Heterosexual,Mx.,Lisa Scott
143,Male,Saint Vincent and the Grenadines,Christianity,Liberal,Bisexual,Mr.,Adriana Gonzalez
144,Female,Sri Lanka,Islam,Libertarian,Bisexual,Dr.,Cynthia Fleming
145,Female,Portugal,Christianity,Conservative,Bisexual,Dr.,Katrina Rodriguez
146,Female,South Georgia and the South Sandwich Islands,Islam,Libertarian,Homosexual,Mx.,Amber Casey
147,Female,Romania,Buddhism,Conservative,Homosexual,Mx.,Michael Jackson PhD
148,Female,Burundi,Christianity,Conservative,Bisexual,Mx.,Carolyn Jones DVM
149,Female,Iraq,Hinduism,Liberal,Heterosexual,Misc.,Tonya Clark
150,Male,American Samoa,Christianity,Conservative,Bisexual,Mr.,Brittany Powell
151,Female,Spain,Hinduism,Libertarian,Heterosexual,Mrs.,Marie Morris
152,Female,Thailand,Hinduism,Conservative,Homosexual,Mr.,Mark Francis
153,Female,Comoros,Hinduism,Conservative,Homosexual,Mrs.,Jared Bowers
154,Male,Tanzania,Buddhism,Liberal,Homosexual,Mr.,James Schultz
155,Female,Mozambique,Buddhism,Liberal,Homosexual,Mrs.,Danielle Morrison
156,Male,Tunisia,Islam,Conservative,Heterosexual,Dr.,Nathaniel Sullivan
157,Female,Turks and Caicos Islands,Christianity,Conservative,Heterosexual,Mr.,James Gray
158,Male,Aruba,Hinduism,Conservative,Bisexual,Ms.,Hannah Hernandez
159,Female,Algeria,Islam,Liberal,Bisexual,Misc.,Matthew Anderson
160,Female,Saint Barthelemy,Hinduism,Conservative,Homosexual,Mrs.,Dr. Jessica Fuentes PhD
161,Male,Saint Martin,Hinduism,Liberal,Heterosexual,Mrs.,Cassandra Alvarado
162,Male,Kazakhstan,Islam,Libertarian,Bisexual,Mrs.,Erica Garcia
163,Male,Togo,Islam,Liberal,Homosexual,Mrs.,David Smith
164,Male,Italy,Christianity,Conservative,Heterosexual,Mr.,Robert Coleman
165,Female,Venezuela,Buddhism,Libertarian,Homosexual,Mr.,Erin Watkins
166,Female,Timor-Leste,Christianity,Liberal,Heterosexual,Ms.,Amanda Smith MD
167,Male,Malawi,Buddhism,Libertarian,Homosexual,Ind.,Alan Roberts
168,Female,Armenia,Hinduism,Conservative,Homosexual,Mx.,Kimberly Solis
169,Male,Central African Republic,Buddhism,Conservative,Heterosexual,Mrs.,Jessica Acosta
170,Male,Bhutan,Christianity,Conservative,Heterosexual,Mrs.,Jennifer Brown MD
171,Male,Equatorial Guinea,Christianity,Liberal,Homosexual,Mx.,Daniel Watts
172,Male,Italy,Buddhism,Liberal,Heterosexual,Mrs.,Sandra Baker
173,Female,Brazil,Christianity,Libertarian,Bisexual,Mrs.,Christopher Figueroa
174,Male,Niger,Buddhism,Liberal,Bisexual,Mrs.,Meghan Hickman
175,Female,Iraq,Islam,Conservative,Homosexual,Mr.,Elizabeth Lynch
176,Female,Rwanda,Hinduism,Libertarian,Heterosexual,Mr.,Kathy Holmes
177,Female,Comoros,Islam,Libertarian,Bisexual,Mr.,Christina Garcia MD
178,Female,Finland,Islam,Conservative,Bisexual,Mx.,Tiffany Hernandez
179,Male,Saint Pierre and Miquelon,Christianity,Conservative,Heterosexual,Mrs.,Stephanie Jimenez
180,Male,Denmark,Hinduism,Libertarian,Bisexual,Mr.,Erika Jackson
181,Male,Tokelau,Islam,Conservative,Bisexual,Mx.,Richard Vasquez
182,Male,Chad,Hinduism,Libertarian,Bisexual,Mx.,Tara Moore
183,Female,Mali,Islam,Conservative,Heterosexual,Mx.,Dylan Galvan
184,Male,Comoros,Buddhism,Conservative,Homosexual,Dr.,Judy Lopez
185,Male,Macao,Islam,Liberal,Heterosexual,Mr.,Julie Martinez
186,Male,Ireland,Islam,Libertarian,Bisexual,Mrs.,Gregory Berger
187,Male,Cayman Islands,Hinduism,Conservative,Homosexual,Mrs.,Ethan Lozano
188,Male,Seychelles,Hinduism,Liberal,Homosexual,Mx.,Alejandro Taylor
189,Male,Philippines,Buddhism,Conservative,Bisexual,Mr.,Daniel Miller
190,Female,Malawi,Hinduism,Libertarian,Bisexual,Ms.,Lynn Martin
191,Female,Burkina Faso,Buddhism,Liberal,Heterosexual,Ms.,Elizabeth Rodriguez
192,Female,United States Virgin Islands,Buddhism,Conservative,Homosexual,Mr.,Reginald Tran
193,Male,Senegal,Hinduism,Conservative,Bisexual,Mx.,Michael Nguyen
194,Female,Pitcairn Islands,Islam,Liberal,Homosexual,Misc.,Matthew Wilson
195,Female,Japan,Christianity,Liberal,Homosexual,Mx.,Jeremy Cook
196,Male,Taiwan,Christianity,Libertarian,Bisexual,Mr.,Dawn Torres
197,Female,Brazil,Buddhism,Libertarian,Homosexual,Mrs.,Jennifer Jones
198,Male,Eritrea,Hinduism,Libertarian,Bisexual,Dr.,Matthew Pruitt
199,Male,Mauritius,Hinduism,Libertarian,Heterosexual,Mx.,Charles Lynn
200,Female,Cayman Islands,Buddhism,Liberal,Heterosexual,Dr.,Derrick Smith
201,Female,Marshall Islands,Buddhism,Liberal,Homosexual,Dr.,Scott Allen
202,Female,Suriname,Islam,Conservative,Heterosexual,Mr.,Audrey Lyons
203,Female,French Southern Territories,Buddhism,Liberal,Homosexual,Mrs.,Trevor Mcdaniel
204,Male,Mayotte,Christianity,Liberal,Bisexual,Mr.,Michelle Banks
205,Female,Romania,Islam,Libertarian,Heterosexual,Mx.,Michael Rogers
206,Female,Turkmenistan,Hinduism,Libertarian,Bisexual,Mr.,Carl Weber
207,Male,Nigeria,Buddhism,Liberal,Homosexual,Miss,Jason Williams
208,Male,Pakistan,Christianity,Liberal,Bisexual,Mr.,Melinda Warren
209,Female,Sierra Leone,Buddhism,Liberal,Homosexual,Mrs.,Holly Ray
210,Female,Pitcairn Islands,Christianity,Liberal,Heterosexual,Dr.,Carol Aguilar
211,Female,Indonesia,Buddhism,Conservative,Homosexual,Ind.,Jennifer Gutierrez
212,Male,Bangladesh,Christianity,Liberal,Bisexual,Mrs.,Sarah James
213,Male,Turkey,Islam,Conservative,Bisexual,Mr.,Kayla Johnson
214,Male,Chile,Islam,Libertarian,Homosexual,Mx.,Jason Garza
215,Male,Iran,Buddhism,Libertarian,Homosexual,Mr.,Adriana Simmons
216,Male,Montenegro,Buddhism,Conservative,Heterosexual,Mx.,Bianca Martinez
217,Female,Switzerland,Hinduism,Conservative,Heterosexual,Mr.,Teresa Lamb
218,Male,Belarus,Christianity,Conservative,Homosexual,Mr.,Destiny King
219,Male,Myanmar,Islam,Libertarian,Homosexual,Mr.,Brenda Dunn
220,Female,Colombia,Buddhism,Libertarian,Heterosexual,Mrs.,Jerry Johnson
221,Female,American Samoa,Islam,Conservative,Heterosexual,Misc.,Jane Stanley
222,Male,Jersey,Islam,Conservative,Heterosexual,Mr.,Deanna Schmidt
223,Male,Trinidad and Tobago,Islam,Libertarian,Bisexual,Mx.,Kevin Campbell
224,Female,Nepal,Buddhism,Conservative,Homosexual,Dr.,Rodney Smith
225,Female,British Indian Ocean Territory (Chagos Archipelago),Buddhism,Libertarian,Heterosexual,Miss,Jermaine Ortiz
226,Female,Gibraltar,Hinduism,Conservative,Homosexual,Dr.,Amanda Mitchell
227,Female,Denmark,Christianity,Conservative,Bisexual,Miss,Patrick Martinez
228,Female,Russian Federation,Christianity,Conservative,Homosexual,Mr.,Katie Rush
229,Male,Syrian Arab Republic,Islam,Conservative,Homosexual,Mrs.,Tina Anderson
230,Female,Cape Verde,Hinduism,Liberal,Heterosexual,Misc.,Caroline Miller
231,Male,United States of America,Buddhism,Conservative,Homosexual,Misc.,Daniel Yoder
232,Male,Congo,Christianity,Liberal,Heterosexual,Mx.,Alexander Krause
233,Male,Tokelau,Buddhism,Libertarian,Heterosexual,Mx.,Robert Baker
234,Female,Argentina,Christianity,Libertarian,Bisexual,Ind.,David Brown
235,Male,Nigeria,Islam,Liberal,Heterosexual,Mx.,Justin Austin
236,Female,Djibouti,Christianity,Liberal,Homosexual,Dr.,Julie Miller
237,Male,Tunisia,Hinduism,Conservative,Homosexual,Mr.,Douglas King MD
238,Female,Hungary,Hinduism,Liberal,Bisexual,Misc.,David Wright
239,Female,Thailand,Christianity,Liberal,Bisexual,Dr.,Alexander Hoffman
240,Female,Uganda,Islam,Liberal,Heterosexual,Mrs.,Kathryn Smith
241,Female,Swaziland,Christianity,Liberal,Homosexual,Mr.,Yvette Davis MD
242,Male,Chad,Christianity,Liberal,Heterosexual,Mrs.,Shawn Hatfield
243,Male,Micronesia,Buddhism,Conservative,Homosexual,Mx.,Aaron Miller
244,Male,Singapore,Islam,Libertarian,Homosexual,Mr.,Amanda Franklin
245,Female,Estonia,Islam,Conservative,Heterosexual,Mx.,Ashley Williams
246,Female,Tonga,Christianity,Libertarian,Homosexual,Dr.,April Barnes
247,Female,Costa Rica,Islam,Liberal,Heterosexual,Mr.,Victoria Hall
248,Female,Aruba,Islam,Libertarian,Bisexual,Mrs.,Kristina Smith
249,Female,Lesotho,Buddhism,Liberal,Bisexual,Mr.,John Dawson
250,Female,Egypt,Buddhism,Libertarian,Homosexual,Mrs.,Andrea Foster
251,Female,Tunisia,Christianity,Conservative,Bisexual,Mrs.,William Thomas
252,Female,Jersey,Hinduism,Conservative,Homosexual,Mrs.,Michael Keller
253,Male,Equatorial Guinea,Islam,Conservative,Bisexual,Mrs.,David Mitchell
254,Male,Micronesia,Hinduism,Conservative,Heterosexual,Ind.,Jessica Hart
255,Male,Kenya,Hinduism,Liberal,Heterosexual,Mr.,Edward Kemp
256,Male,Argentina,Islam,Libertarian,Homosexual,Mr.,Theresa Russell
257,Male,Swaziland,Hinduism,Libertarian,Heterosexual,Mrs.,Amber Sheppard
258,Male,Micronesia,Hinduism,Libertarian,Bisexual,Mrs.,Alexandra Lee
259,Male,Peru,Christianity,Conservative,Heterosexual,Mx.,Elizabeth Bradshaw
260,Female,Netherlands,Islam,Conservative,Homosexual,Mx.,Brianna Hurst
261,Female,United States Virgin Islands,Islam,Conservative,Bisexual,Mrs.,William Hernandez
262,Male,Ukraine,Islam,Liberal,Homosexual,Miss,Melissa Ross
263,Male,Germany,Buddhism,Libertarian,Heterosexual,Mr.,Bradley Rodriguez
264,Male,Christmas Island,Hinduism,Liberal,Bisexual,Mr.,Kelly Wolfe
265,Female,Reunion,Islam,Liberal,Homosexual,Misc.,James Matthews
266,Female,France,Islam,Conservative,Homosexual,Mx.,Shawn Romero
267,Male,China,Islam,Libertarian,Bisexual,Ind.,Robert Hardin
268,Male,Norway,Christianity,Libertarian,Bisexual,Mr.,Derrick Porter
269,Female,Seychelles,Buddhism,Libertarian,Homosexual,Mx.,Zachary Adams
270,Male,Jordan,Buddhism,Libertarian,Bisexual,Mr.,Kayla Clark
271,Male,Comoros,Hinduism,Libertarian,Bisexual,Mrs.,Rachel Wade
272,Female,Bermuda,Hinduism,Libertarian,Bisexual,Mr.,Jessica Kim
273,Male,Nicaragua,Buddhism,Conservative,Heterosexual,Miss,Lori Robinson
274,Female,Malawi,Hinduism,Conservative,Heterosexual,Mr.,Audrey Wong
275,Male,Tonga,Islam,Libertarian,Homosexual,Mr.,Samuel Peterson
276,Male,Armenia,Buddhism,Conservative,Bisexual,Mrs.,Robert Klein
277,Male,Andorra,Buddhism,Conservative,Bisexual,Mrs.,Anthony Williams
278,Female,Brazil,Christianity,Conservative,Homosexual,Mr.,Dwayne Ramirez
279,Male,Guam,Hinduism,Liberal,Homosexual,Mrs.,Robert Sellers
280,Female,Dominican Republic,Christianity,Conservative,Bisexual,Mrs.,Bradley Lynch
281,Female,Botswana,Hinduism,Liberal,Homosexual,Mrs.,Larry Pitts
282,Male,Greece,Hinduism,Conservative,Bisexual,Mr.,Bryan Garcia
283,Male,Saint Barthelemy,Christianity,Libertarian,Bisexual,Mrs.,Terrence Delgado
284,Male,Hungary,Christianity,Conservative,Heterosexual,Miss,Alyssa Rodriguez
285,Female,Peru,Islam,Liberal,Bisexual,Mr.,Robert Brown
286,Male,Dominican Republic,Buddhism,Conservative,Bisexual,Mr.,Brian Reeves
287,Female,Serbia,Christianity,Liberal,Heterosexual,Mrs.,Ernest Anderson
288,Male,Sierra Leone,Hinduism,Conservative,Bisexual,Mr.,Daniel Fowler
289,Female,Romania,Hinduism,Liberal,Heterosexual,Ms.,Amy Perry
290,Female,Malta,Hinduism,Libertarian,Homosexual,Mx.,Keith Rowe
291,Female,Zimbabwe,Islam,Liberal,Homosexual,Mr.,Charlene Wang
292,Female,Cook Islands,Islam,Liberal,Heterosexual,Mrs.,Richard Tucker
293,Female,Colombia,Islam,Libertarian,Heterosexual,Mr.,Diana Carr
294,Male,Tajikistan,Hinduism,Liberal,Heterosexual,Mr.,David Reynolds
295,Female,Andorra,Buddhism,Liberal,Heterosexual,Mr.,Tina Osborn
296,Male,Montenegro,Christianity,Liberal,Homosexual,Dr.,Matthew Bernard
297,Male,Bolivia,Christianity,Liberal,Heterosexual,Mr.,Johnathan Bates
298,Female,Venezuela,Hinduism,Liberal,Bisexual,Mrs.,Yolanda Jones
299,Female,Marshall Islands,Christianity,Liberal,Bisexual,Mrs.,Jacob Nicholson
300,Female,Serbia,Buddhism,Libertarian,Heterosexual,Mr.,Adam Williams
301,Female,Norfolk Island,Christianity,Liberal,Homosexual,Mr.,Jade Gilbert DVM
302,Male,Gibraltar,Islam,Libertarian,Homosexual,Mx.,Casey Martinez
303,Female,British Virgin Islands,Christianity,Conservative,Bisexual,Mr.,Christopher Green
304,Female,Palau,Christianity,Liberal,Homosexual,Miss,Gregory Shah II
305,Female,Togo,Buddhism,Liberal,Heterosexual,Miss,Donald Carter
306,Female,Isle of Man,Buddhism,Conservative,Bisexual,Misc.,William Morales
307,Female,Argentina,Hinduism,Liberal,Heterosexual,Mr.,Cody Goodman
308,Female,Heard Island and McDonald Islands,Hinduism,Conservative,Bisexual,Mx.,Brandon Wilson
309,Female,Tonga,Islam,Liberal,Bisexual,Ms.,Ariana Pierce
310,Female,Bahrain,Hinduism,Liberal,Bisexual,Miss,Miguel Frost
311,Male,San Marino,Islam,Libertarian,Homosexual,Dr.,Gabrielle Torres
312,Male,Singapore,Christianity,Libertarian,Bisexual,Dr.,Jeremy Rodriguez
313,Female,Svalbard & Jan Mayen Islands,Buddhism,Conservative,Bisexual,Mrs.,Eddie Blackburn
314,Male,Angola,Christianity,Libertarian,Bisexual,Dr.,Christopher Burgess
315,Male,Bhutan,Hinduism,Libertarian,Homosexual,Mr.,Jared Higgins
316,Female,Tajikistan,Christianity,Libertarian,Heterosexual,Mr.,Michael Solomon
317,Female,Germany,Islam,Liberal,Homosexual,Dr.,Donald Molina
318,Male,Kazakhstan,Buddhism,Liberal,Heterosexual,Ms.,Kara Carter
319,Female,Togo,Islam,Libertarian,Bisexual,Mr.,Julia Torres
320,Female,Madagascar,Christianity,Liberal,Heterosexual,Mrs.,Peter Anderson
321,Female,Nicaragua,Christianity,Liberal,Bisexual,Miss,Danielle Powers
322,Male,Bangladesh,Christianity,Conservative,Heterosexual,Dr.,Kelly Bautista
323,Female,Greenland,Hinduism,Conservative,Heterosexual,Mr.,Isaac Watkins
324,Male,Mexico,Christianity,Liberal,Homosexual,Mr.,Tony Adams
325,Male,Saint Kitts and Nevis,Christianity,Libertarian,Bisexual,Miss,James Caldwell
326,Female,Gibraltar,Hinduism,Liberal,Heterosexual,Mr.,Jill Hicks
327,Male,Uganda,Christianity,Libertarian,Homosexual,Mrs.,Vicki Mitchell
328,Male,Bermuda,Islam,Conservative,Heterosexual,Dr.,Mitchell Price
329,Male,Ecuador,Christianity,Conservative,Heterosexual,Mr.,Emily Combs
330,Female,Zimbabwe,Hinduism,Libertarian,Bisexual,Mrs.,Patrick Rosario
331,Male,Hong Kong,Islam,Liberal,Bisexual,Mrs.,Russell Wilson
