,AADHAAR,PASSPORT,DRIVERLICENSE,VOTERID,SSN,UID,PAN,VID,RATION_CARD_NUMBER
72,855464069970,303811,Ch089809ya,676133663673,691-32-5534,535659503,sxalm846309,8388852428,6352443
73,752768256777,537812,Kh521742iP,698088381336,175-50-3530,732688873,KpnTs120060,9344141889,7737103
74,460027092411,632095,pZ241267gA,608704212485,672-26-3591,393406868,FxWSI029936,1901233715,1506580
75,668683855577,497799,Er264781XW,474527585079,790-29-6403,600248255,heCxo841590,2028652071,9512191
76,642901608436,869791,ig973056tT,611576728787,803-44-6492,925705279,tMgKZ407517,8233464975,8089710
77,627359147033,185489,PO632575CO,914241219697,431-52-4174,854917329,ECOiM355198,5919139195,2865072
78,755890644521,329852,XY027287mJ,607560269906,423-84-5402,285930179,ROVYm271657,5103673363,3644559
79,164932019959,138773,jV385373Sd,780700558450,309-97-5257,531852388,AQGLC568701,1250578802,4143835
80,738891579706,566431,bn331927os,440493753893,868-18-6024,889117047,KLxfb712585,1766743863,7534293
81,629190328775,985491,Wc073435af,938207570307,714-88-7054,911978935,SQpep747238,6219012818,4968255
82,127554862089,698322,Xg702137az,604086787337,326-83-1203,450946634,sbDyf743126,5736621742,2831873
83,800983539139,692552,Ch318538uN,444902414678,011-59-4846,677744519,IWuxY115142,4828512150,9891978
84,555852121211,422862,Hn966063QQ,619524510877,425-51-8694,519244613,xwjRp235627,4316757224,7712290
85,302487919485,198310,Ea399410vd,168681149303,668-68-7268,441556671,PFLUV372576,1340465993,8389544
86,403285422814,751685,nS397145ab,884558802009,203-24-2761,488260008,oHoRK412805,1201484543,5868130
87,999627423482,955955,Vz025919bx,441908007179,786-61-1538,368000908,lTWfL677446,7236253958,4956448
88,526656762134,600421,sL335422JG,693317150538,109-04-2127,413059466,XhMdm137294,7431616092,1367254
89,905583984688,263450,pv300216pP,380129855159,170-68-9899,736229608,qDQxP964690,2678291525,7016915
90,776540733837,204434,dM597558co,998908924734,896-85-3786,618083417,TTzKZ489575,9847478767,1816835
91,325169439529,149601,Tx000961mr,326994262760,066-51-8894,308730576,mlkeq619344,3904004412,5280301
92,454478401043,554493,iM496551IG,600209426220,606-70-9633,386412078,akExc446068,7990727956,4069825
93,721462241749,507607,NM956707hz,296223348238,213-09-4764,745765276,nIPYI638956,7802422266,1584760
94,700012898768,884565,YJ922174Uj,510156521625,871-99-9287,868888463,GQXce954888,2158298266,3106308
95,691903822453,283501,Tk133475OL,841880887786,084-14-0142,518628316,tCPHg717540,8287413036,4497073
96,773685599248,945735,KF217494FH,576387967371,511-78-1236,841767779,ZZleV520674,6948174595,5051444
97,918448363826,888952,CA788842dS,937973820131,759-78-3514,190846635,FwLAd292367,7204906353,2366124
98,998547289811,166967,Ec731758bH,628775198076,577-64-6185,207514724,Jukjn943238,5196867896,8732654
99,249442987259,407677,yY719475dt,984962163279,236-98-6642,753226819,ClmaZ819123,4939538403,6350524
100,626291556283,471659,Ly835216NG,319151181971,868-55-4368,402670663,EjAFh337424,4271250605,3983421
101,521685782182,756945,gR270341ff,117824714745,170-59-7279,661709398,eDqsU061675,9759519007,7535132
102,520522245316,172667,XB181930xA,583135880508,524-60-5916,989062533,jLrjq250005,9957943526,5745095
103,760590436150,580579,VJ627950zH,901422341156,728-48-6485,265855711,Uondp291395,9133307110,7041374
104,425057721586,539085,eq567432WR,452929105119,461-89-5959,410104195,BefbZ782168,1675772687,7229730
105,689719710656,952270,IP157490fD,851822273769,014-31-1750,380495705,uleII740825,5222787789,1380557
106,670394224648,269569,tv659500qO,592087707796,723-71-0155,977293712,xGYiy577584,6257758345,4755338
107,853073869705,812831,QB905601bR,473164500822,033-03-6427,508131816,jRkwW522897,6189535538,3692302
108,361783059132,666822,cQ695360Nh,855098899117,696-70-0992,768233398,LLHCz801780,9808792112,8404468
109,235969145668,554365,TY198137Jr,793638926186,337-63-0031,426447584,RBcKX091728,5341835976,5772133
110,360310520083,261712,SV923368lT,517873926723,129-65-8284,115140532,uDHXL910733,7508934079,5253863
111,551774463607,731579,VP480610ZW,701873210360,194-96-5846,901775010,AmfvB563074,8479819068,4958889
112,398736792635,591855,fk486163cP,836845701183,834-37-5659,488434668,FtJCu139521,7970912904,1163913
113,259096048942,317981,JC363001tz,171534230534,860-23-0472,396085972,GmqtW074250,3659648336,3400613
114,159472763400,257294,oW636041IM,191550478808,803-81-1998,272857638,FqeGU941477,2291246468,2685195
115,106734819258,756062,rC133755Ph,785905167911,363-40-4260,556851105,rKzmt449750,2338584952,8905586
116,849217153708,855751,ma217255ae,748953362905,180-43-3515,358541395,yvlpU552760,5910110575,1029854
117,500969574487,893302,FV727017WX,702641018539,715-62-4142,247951138,ijRgE320136,3784483103,2315794
118,741040707103,176146,wA866891Cg,861323592060,712-88-5470,654587683,MWbhL025673,9426948020,5836141
119,196359719898,848485,Ai716204Lx,108424589766,493-24-4597,139265424,vryne569521,1988427337,4328978
120,436986919789,365280,QT790829bW,874494704996,637-68-2267,408462154,WhveU723968,9000632971,6870924
121,105582606246,500674,YC251351Kb,530975955989,095-76-2778,143453310,rDbwU330975,6821650709,7502366
122,670488278439,128160,jq687597Bo,735189947570,649-34-7220,310748216,RgZpz588898,9091833639,3223050
123,910038717953,554513,oj107057DW,882794257954,208-14-1507,234928409,gXKAo267306,3413333923,8832510
124,941159709982,495235,ml446880Jx,283822159379,274-54-7443,865233279,xcJCf127646,3710082875,9596191
125,710664031567,745565,XF852086SC,160283611365,386-73-5271,104437554,yvmiM297642,2736453490,7186985
126,140552048228,417432,Ip717031rU,943213228284,018-18-4478,506392963,mYRff282691,4042531022,4466543
127,125688879735,119310,PN320407AY,490351151781,286-01-8259,973719953,uJtZc470542,4299759410,2803066
128,713507069843,942030,Ga865098fO,682975350538,724-74-3003,611883613,AObID278310,7942110958,2450681
129,697164503897,163561,qq660405nR,636248769100,815-53-8490,191030477,zbeba179802,5633285892,5770314
130,955350363513,896252,bq086426Gs,341579708216,533-56-1122,938612370,ycFQn414563,5086789362,2791524
131,374954985487,379715,lI177836Pl,933764302573,152-73-5105,738251854,mosnq801340,9514223490,2491611
132,588930979408,155438,CM095818Fx,298612724612,171-41-0651,716933846,XaYZI797149,7022550619,1369368
133,412685914851,567568,mS985320Ol,358646852104,458-36-7722,571118074,wOXXZ713463,7245188470,1925257
134,989626221297,760442,fn252801hX,232429232306,199-81-0035,198524338,AyKTI094573,2592037716,9303358
135,523564871801,491492,DH120612db,609914964202,036-88-2223,807717748,oaLvq736655,5321797541,5149375
136,279102672045,761373,gC413837Yz,460226030487,405-69-5965,375386398,HMulD114945,9743081290,4238034
137,745144889388,385972,jA891859fK,204058807620,849-45-1847,762522689,XMqRN549301,3398449133,1268835
138,415221855850,944224,HX482971zl,757810887242,353-29-4152,845063738,MxGBe375566,5364893044,1237377
139,346497746748,828699,Ll489173xC,146313566193,373-12-7102,829728425,Uipvw802948,5427440289,6493792
140,726391171970,134397,bw687301Mz,493624786409,127-88-1434,405029966,OMZkK842066,6831510669,2572461
141,352309348715,133719,OE871960JT,243667334091,634-55-1267,807359803,KPWOe482547,4261579283,4089968
142,759037258432,306868,mc470998Lk,317010034703,593-35-0797,480925783,KyQoC341050,5135551908,7561932
143,893355904621,403837,HU131578fP,911929203081,080-35-2845,451815471,SLlNf466213,2152050832,9227279
144,923682103108,104721,LG248593Xw,207826400491,620-83-8106,570833636,wMnvG606717,1799620044,6059802
145,230042351544,402703,Lr478942Vg,892683254058,716-81-0756,919827959,QquLu406892,6207791685,6914836
146,112529061651,556463,Fq701571vI,265543824009,042-73-8975,216489547,SeCWW023034,1205592218,5859580
147,183144745872,578028,DE983273ND,820706027614,370-68-3666,425258745,PFSBS533471,4521772213,6411276
148,401212888181,248806,Bl899053ud,849554731159,323-67-4919,897421434,KmQhl593488,3227191828,6665877
149,853478298260,603695,oU810885wC,150802835813,892-12-6157,464985665,eMuFV281695,2755336902,1521283
150,752969773010,803510,Ot227952mA,809411676042,524-82-0870,307540215,bcVhY320846,3793504355,2000801
151,341982979938,297143,DO113322qN,709998917830,750-02-4018,760439028,dOkqs091183,1753396716,4364986
152,364500173308,881586,mS451145Wl,841371603618,437-39-5050,310493120,KkIIs876775,2499223353,2117918
153,992155102898,926785,FJ123081JY,943977120366,313-96-7440,765929485,QLwFV620519,4810926469,2431430
154,807956604726,771946,es665165fz,877371634199,032-60-4175,799246748,ypyKx554410,9047505314,1097426
155,900798610732,431377,kv741916Aw,734303737998,557-30-8079,582539127,pCcBj857897,6981532008,1446154
156,487389314172,888821,RV145761nb,776026619488,258-65-1021,194597665,EkYEw189028,3201932583,6915922
157,213499585459,600025,sr288416zX,140731157704,265-35-5100,631584363,GXbxq863461,6125736804,8652309
158,849006812526,240293,wo093385TA,824312614344,551-90-1224,165640735,PFnWN118768,3052335551,6169590
159,972026273693,229364,Rp581088Sg,761306721920,785-31-5669,507097669,akzWS782036,3133051694,6643987
160,138495292121,334203,PM271218ev,495111600415,697-83-3188,204114687,JAbqO244626,3133444437,7171495
161,678528816595,966252,Yy368996sR,573753628285,426-65-4279,206149530,WjOiW111442,3149563339,8073041
162,267528934884,840274,bo799109Cs,858963544852,122-65-9235,367194806,pLgpr629180,1029397398,3030283
163,471388347563,948786,uk945198ke,645985479871,301-11-7515,552475221,RNEEE002630,6251678614,9446808
164,431655962622,327633,yq358258Rx,817560517492,174-08-8102,442274856,MtrZn785368,1451697189,7867010
165,331219265647,162196,YJ916747ea,354924830536,440-50-0749,642192465,aOqKD846047,1848513284,1349432
166,408901385957,604154,Jp985069rR,727584590562,894-13-8014,293839137,rMXsl175047,9606578318,2111580
167,271499955631,189992,kU291485eE,250174742563,260-74-4935,265145922,UXGKm426794,3298978534,6052502
168,438406030006,612994,Jn364657Tb,664687021214,012-33-3498,589525770,niATf069498,8824079803,3297647
169,261862264113,277573,kw227178Qh,487753536829,218-21-9300,526490730,GyWZc720083,5525021965,9068504
170,722599254748,602908,vf266570xV,195790875049,667-63-2602,487052338,FzyfG994359,5382359858,1225972
171,308383247381,813217,PP706665RH,494249881129,369-72-3879,842866286,ESmqo064545,5779037397,9905670
172,894034032867,175364,qd463554XB,628115984401,665-27-0858,852723766,TQBkR065890,2246491744,1226709
173,388160897340,259818,uf006569mo,838905993321,517-20-8761,956341484,MtbKe763302,1794465003,8874936
174,300281304425,860492,mv700261PW,158515696299,471-83-2750,914572694,qCWeM507039,1532828147,4140466
175,466461116382,347648,Gy873369eF,401729032564,209-88-8421,683964812,CfNIK772367,6142114093,7816014
176,705016674402,654716,pU662401Nl,396132883094,123-56-0254,361996418,eESPK474797,3885533554,3415917
177,230608586458,195766,SY744025wT,165809895923,825-34-2736,325228114,kxRdR611569,7022165166,7840215
178,630611270746,805547,wq457029QW,495483221306,150-72-2691,757094996,Hnhce791192,3387939411,9199412
179,964644585304,792214,Pb054848Gq,272323069705,378-32-1608,524256624,AFEUg077331,9278135814,3706343
180,901403440812,344338,xK938169bw,917060492546,713-30-5789,273431226,EhWAV994824,3087305326,4461599
181,122803765745,889045,Mm904568rm,480380612988,842-45-2824,214657830,iWdCS823702,4126338557,2397293
182,998055452303,951287,pc405514Ts,349611985943,203-49-5141,129381025,VCnxs604891,8464792945,4437607
183,420159470504,149394,WL126670gB,447057877928,754-69-8884,130308749,OwbXE152358,1212003244,7161704
184,482921393094,515071,gX652286ER,712612790806,072-59-6396,347663467,WmLia474190,7945238349,3990630
185,513713261763,375358,xi621702Ro,695544463693,148-31-5225,453638738,WeAvU312393,6816215105,2726519
186,280674249312,283673,AD834202qU,107244626586,057-51-2446,763426392,erkqi163754,1270627089,4293947
187,910719349689,151111,IA517065wM,776607907676,336-57-0127,889894722,HcQxP770750,2730057277,6099309
188,992882918183,595448,hR479552GV,351629731124,229-82-3609,506564859,eBhoW456905,1163697958,1376096
189,483667547248,796294,Bi572796DH,693830225819,807-08-0943,263305263,DgpKD108701,5993853114,2874832
190,663840013501,345568,CC836414ZJ,768370996231,280-65-2836,380316636,UxETU957343,7243690166,9042991
191,743353250068,523217,qC397795aY,300423777864,650-27-7905,233518707,SWDiK059202,3269643823,2819638
192,262347173345,506601,kw019740cl,258160928506,463-56-1270,658822312,sJVvM694056,5606175333,2512771
193,679900581866,231861,UB838067ub,315223048852,371-70-8096,150834796,ywyMC412712,8047890221,7619616
194,746047884380,657220,Nm431277Bx,138103668444,686-10-7281,876026794,qNkeL734537,2678945553,9939022
195,935612147374,804138,qt895565zK,267069455181,465-21-5352,653403955,iplOk388701,8307179423,7642032
196,300678382461,268963,Mm936271gK,974021237127,520-14-4088,776292016,nTTMl744774,5407205258,2728617
197,562584637947,289090,zV965374Az,546998072867,468-95-9138,960331470,lIGXt905386,3174347207,2427019
198,880099624796,698506,Zr811034YR,136557091871,726-44-3235,964650780,SuSwe281220,7111921851,2269589
199,352382125421,306728,iE495738QE,621420093472,228-37-9627,584104385,zjyXn904075,2349718313,5206627
200,353555171932,756185,ND786564hj,666748959221,161-62-2578,730535015,RgjdT109464,6678565203,5184509
201,181864632381,762011,tv111818OJ,997397490679,297-26-0946,717384892,ILgPw865497,5411039485,8423574
202,637447756199,474037,wy092740tk,227409173345,333-88-3522,449875790,wYFBF232552,3701660411,7934104
203,548401966885,293137,kZ212074ps,719515369267,387-76-4643,773206877,KGDly930280,7904024118,6216373
204,412643279529,881248,IV033091ez,245036700902,571-01-1573,826828732,OeXXP255868,4339457998,6195660
205,197354538119,310427,iE236622eF,620305922614,668-96-7278,379561175,aclUD978708,5867552679,2773164
206,783393410577,353056,zF868731JU,688762131543,894-29-7888,193419734,kQWKQ201757,9698808757,1531163
207,815492640227,199863,cu741830HF,812544950583,533-82-5127,815397825,Hblfb636246,2662972188,4213751
208,424325918788,614358,gR150537Vb,871699153947,448-74-7126,670344855,BXptp910442,2231160839,9986161
209,330830920741,237834,Np453519mB,517848547568,156-60-8131,908688566,xnswY435170,4119602985,1422749
210,691488758713,739192,ZZ155247xy,263793120855,286-88-0711,611987170,LABrj426168,5663670452,3496984
211,144739707627,252949,JT495905fX,357982624720,849-95-3236,193900399,vfpKd326251,3536057925,9795981
212,569951443099,328687,ww108851li,694349965582,170-62-3301,182785877,FdEyv426221,7667968904,3464890
213,167670800083,952789,jR739103Yl,752109219934,654-42-5156,354327239,IrfxD203917,3216209263,2421702
214,531014575661,284560,rU715685go,532682377043,459-32-6939,570679322,HGhhB713368,4310422631,6964422
215,787223797122,619843,Ov447938uW,357728942630,574-72-1844,853469583,jDVYd523460,5815236345,1212605
216,559392421895,173690,TY547685oC,941107545393,707-34-7216,383877075,vMGoS658261,6141170424,5085510
217,831421614682,873282,hZ064323nU,370753021445,260-62-6565,230607512,pOeWv346309,6726256291,8288349
218,555418744749,346506,Kr622540lg,947079845056,729-50-3014,478590534,ztYTR043138,2126402279,5902839
219,969809517171,591689,sh923924Bp,733083608875,861-63-8485,400250367,uivFg197148,2287899790,9125288
220,450975014105,241850,ga135623RM,882392373090,703-15-5985,423595326,IQMxM997939,4824094083,4345851
221,563124725932,141180,pY881218PW,284673439072,591-34-5012,377650081,FhbGE347337,5820648732,6877013
222,596427817856,614187,tV734079uH,767335734712,336-29-8733,882205845,ydZIz459354,7394398312,6739771
223,921968876838,429259,zN638526UU,541644842030,389-22-7912,776361977,BJCBC695940,2024909574,3363957
224,432369279571,353834,cu169790qV,717236363213,662-03-8806,319928574,TIOvB937072,7360495057,2320294
225,867885198561,363383,em928903Mr,954927407396,316-02-8518,158183280,jfFJy240561,1472737052,5343402
226,254655896856,200405,he900426fV,847596512419,510-26-5926,278673575,XMmGB845345,4650235408,3850996
227,553753043074,838696,bK068226FJ,653803868707,532-74-6378,524337088,nmazA925468,2055239767,3053630
228,833699811179,621529,ej149094PF,895502663888,127-44-7465,844123738,QiDBr276424,8918014654,3480139
229,567086567922,614068,rE728992gB,907620856049,482-59-5926,556328361,RMoKU000831,1882584169,1358803
230,824833576170,131111,Ip525721tv,611364118069,054-69-3164,955615837,WcmrJ613353,5631142184,5820646
231,435790990070,754945,jv637316tu,847533397552,044-08-0042,924292525,ChBAt030395,9136643415,8248116
232,137882322765,456226,Ls711042dd,315612292739,448-20-1044,106848200,drwqv511161,3202706394,6302810
233,835178812706,234650,Mz153540ZD,930787062696,889-50-4942,764876100,RRjqY406461,3991092935,5516956
234,736593916550,205062,mr448006iQ,706926232643,784-89-5524,982982347,VljDL068777,3647770307,1758832
235,634168275825,252688,el305065TR,863844143391,721-42-5620,811105297,eJHgW968566,8094401394,5688178
236,985140904143,910416,PK206900jB,359675393663,740-43-2499,174777644,qrlPW755078,1669456317,5888991
237,692033407825,452394,Pd842511Ou,769189471430,459-39-5992,636604081,msdAq097177,6038129655,3447799
238,605011356968,801129,LA312729Ln,240770060687,740-57-5995,531380976,kiHwu580467,3037264843,8474006
239,600680851183,570646,Xf627683iF,940410730312,373-77-0935,109735556,oTXgM583196,6238805961,8198895
240,648587481146,199095,jg538137SC,320292570852,545-59-9334,891246369,gmztM646830,8408631705,2511405
241,723189368881,153996,wD550830zC,320383122667,729-50-6424,200309376,ZTsJT237954,4197278450,5284753
242,783417442331,978700,af389201mv,357313890907,099-26-2888,515937164,HioBX921729,7116595232,7106778
243,738635495655,467934,Xh292282su,589633079674,069-55-2645,746909808,GfPix600860,3754626398,2946688
244,219031374919,498729,iX924557gZ,725263743983,651-02-1116,843585902,EXcLc040063,9774789702,2477470
245,146524459649,902204,yA999075KT,326756581409,135-20-4426,375856363,WcQDO872748,8925254167,3932748
246,629688129778,273177,Cs607164wp,160768918202,240-90-0773,679138820,tpePk745726,4616348918,4552472
247,588186661033,698480,qD970406Yu,170097825506,689-78-7855,436320532,Iylwi418522,2421058151,6806113
248,916997050948,494319,LT555224MT,849174807418,005-56-9036,482303235,SkfjW760326,6795938792,9256253
249,615055540014,743767,JK621244kN,165114306000,210-42-9688,193056940,WrUWT097029,1664322918,5857760
250,140757862116,982773,PO529787hB,867815930645,673-60-2430,514425654,TUXQi638874,8644605412,8520894
251,278495826360,350432,yA363333kg,845741752416,068-53-4169,761923904,UUlBT329442,2500165178,1193369
252,528004309886,496382,lU920679tN,770251271480,136-46-4336,298765117,fskAs425998,4555711630,4936179
253,142438166322,104447,AN047268AK,100591312732,245-72-5598,505114460,WkxIn262545,7467168596,1733551
254,235557027840,139443,sw144503tM,932112890374,415-95-0334,286295132,ZMxdR165642,1999505772,4782536
255,133543094937,369987,CM172725rt,732983004836,746-55-1564,632008157,Vsipd481483,7369065530,8803193
256,294470756290,251386,ht987708mf,606402171622,303-36-3193,342565688,cJGPG152181,3972110982,9377098
257,275481572248,343940,Qs253835Nh,228832486151,329-76-8947,250651395,GyTrH431868,3879996644,9567665
258,794761313758,224590,ox233491Mg,435758404744,015-35-3892,241084274,ckNTl601526,7241206144,3451075
259,827778931814,550968,OI814017PI,940902933051,400-09-7745,467326611,ZOFke853533,5211482671,4588309
260,911575766125,830773,dM987264zr,662193227897,771-96-5597,874720673,mcxLo512071,9655914957,6569968
261,929579684586,491023,FW840566cD,786267595520,461-11-5228,586568681,UQrif590475,7672596742,2776862
262,262431775130,547797,zs130664er,777776618094,200-14-3528,344979082,qXsIb938494,7309421227,3545273
263,463120244526,872288,RZ151319vK,240605956079,081-25-7296,421706070,GapxN882188,6974400577,4473354
264,327169993453,307434,yV906383dE,585869672958,721-23-4399,257608578,GsiAN799809,5153791659,8571724
265,512374791646,886805,Hc253031JR,222359477051,573-12-5657,281218128,rnkMT683962,4379409209,5346487
266,234815244355,906211,pN859931XY,560949232152,700-97-4423,657314170,zMSad243762,3612241923,8324814
267,960700652614,529845,FV377698ha,430330648906,360-20-3323,680123739,cBIQc010350,4844868475,6387993
268,833970550373,748198,DY880933FW,314129822764,282-79-4909,582525099,xITfl125190,1127239049,7040370
269,702834262039,432090,nZ653484Px,830153892402,774-44-5780,863481240,SsJRl845709,9831959892,3791346
270,463564799446,607468,Ic063196qx,914878496645,147-34-1556,195912708,NWgZn003334,4222671883,1048587
271,683315147665,714731,Wa761901jv,741272959518,676-60-3178,313901112,Zuaih564210,5284159382,9342730
272,262576544281,564881,WU309996sa,154818679688,894-06-7324,262687890,vXXuw700282,6703012703,7006064
273,428736296729,632317,Ve739676el,634380849529,535-96-9896,839550284,LIfoa782090,3786947627,1817844
274,355099011668,923345,mi859931Ar,633095804127,757-28-1342,717383342,piHEs884857,8515787469,7865149
